"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"05","秋田県","05201","秋田市","052010001000","旭川清澄町","39.743039","140.128123","0","1"
"05","秋田県","05201","秋田市","052010002000","旭川新藤田西町","39.740677","140.126120","0","1"
"05","秋田県","05201","秋田市","052010003000","旭川新藤田東町","39.740510","140.129167","0","1"
"05","秋田県","05201","秋田市","052010004000","旭川南町","39.736556","140.128467","0","1"
"05","秋田県","05201","秋田市","052010005000","新屋朝日町","39.701936","140.087242","0","1"
"05","秋田県","05201","秋田市","052010006000","新屋大川町","39.685846","140.092201","0","1"
"05","秋田県","05201","秋田市","052010007000","新屋扇町","39.679540","140.086936","0","1"
"05","秋田県","05201","秋田市","052010008000","新屋沖田町","39.673852","140.089363","0","1"
"05","秋田県","05201","秋田市","052010009000","新屋表町","39.680515","140.083494","0","1"
"05","秋田県","05201","秋田市","052010010000","新屋勝平台","39.705172","140.077629","0","1"
"05","秋田県","05201","秋田市","052010011000","新屋勝平町","39.695323","140.082083","0","1"
"05","秋田県","05201","秋田市","052010012000","新屋北浜町","39.701038","140.072315","0","1"
"05","秋田県","05201","秋田市","052010013000","新屋栗田町","39.688162","140.080856","0","1"
"05","秋田県","05201","秋田市","052010014000","新屋寿町","39.695400","140.076893","0","1"
"05","秋田県","05201","秋田市","052010015000","新屋下川原町","39.705928","140.073897","0","1"
"05","秋田県","05201","秋田市","052010016000","新屋渋谷町","39.674463","140.097492","0","1"
"05","秋田県","05201","秋田市","052010017000","新屋高美町","39.674388","140.094775","0","1"
"05","秋田県","05201","秋田市","052010018000","新屋田尻沢中町","39.671364","140.093575","0","1"
"05","秋田県","05201","秋田市","052010019000","新屋田尻沢西町","39.671298","140.091320","0","1"
"05","秋田県","05201","秋田市","052010020000","新屋田尻沢東町","39.671253","140.096202","0","1"
"05","秋田県","05201","秋田市","052010021000","新屋天秤野","39.707322","140.086513","0","1"
"05","秋田県","05201","秋田市","052010022000","新屋鳥木町","39.679301","140.095639","0","1"
"05","秋田県","05201","秋田市","052010023000","新屋比内町","39.674032","140.081858","0","1"
"05","秋田県","05201","秋田市","052010024000","新屋日吉町","39.680919","140.079073","0","1"
"05","秋田県","05201","秋田市","052010025000","新屋船場町","39.695772","140.087551","0","1"
"05","秋田県","05201","秋田市","052010026000","新屋前野町","39.671356","140.088762","0","1"
"05","秋田県","05201","秋田市","052010027000","新屋町","39.704578","140.065329","0","1"
"05","秋田県","05201","秋田市","052010028000","新屋松美ガ丘北町","39.706539","140.080475","0","1"
"05","秋田県","05201","秋田市","052010029000","新屋松美ガ丘東町","39.704192","140.084251","0","1"
"05","秋田県","05201","秋田市","052010030000","新屋松美ガ丘南町","39.701613","140.081921","0","1"
"05","秋田県","05201","秋田市","052010031000","新屋松美町","39.700026","140.077801","0","1"
"05","秋田県","05201","秋田市","052010032000","新屋南浜町","39.695568","140.071763","0","1"
"05","秋田県","05201","秋田市","052010033000","新屋元町","39.687933","140.085196","0","1"
"05","秋田県","05201","秋田市","052010034000","新屋豊町","39.702745","140.091716","0","1"
"05","秋田県","05201","秋田市","052010035000","新屋割山町","39.698796","140.087363","0","1"
"05","秋田県","05201","秋田市","052010036000","飯島","39.778213","140.047117","0","1"
"05","秋田県","05201","秋田市","052010037001","飯島飯田一丁目","39.770973","140.092303","0","3"
"05","秋田県","05201","秋田市","052010037002","飯島飯田二丁目","39.773192","140.089553","0","3"
"05","秋田県","05201","秋田市","052010038001","飯島川端一丁目","39.779307","140.062246","0","3"
"05","秋田県","05201","秋田市","052010038002","飯島川端二丁目","39.783988","140.062682","0","3"
"05","秋田県","05201","秋田市","052010038003","飯島川端三丁目","39.787261","140.060822","0","3"
"05","秋田県","05201","秋田市","052010039000","飯島穀丁","39.776272","140.061829","0","1"
"05","秋田県","05201","秋田市","052010040001","飯島新町一丁目","39.765393","140.089757","0","3"
"05","秋田県","05201","秋田市","052010040002","飯島新町二丁目","39.768695","140.087355","0","3"
"05","秋田県","05201","秋田市","052010040003","飯島新町三丁目","39.771432","140.085032","0","3"
"05","秋田県","05201","秋田市","052010041000","飯島長野上町","39.768800","140.081752","0","1"
"05","秋田県","05201","秋田市","052010042000","飯島長野中町","39.770423","140.078850","0","1"
"05","秋田県","05201","秋田市","052010043000","飯島長野本町","39.771839","140.082192","0","1"
"05","秋田県","05201","秋田市","052010044001","飯島西袋一丁目","39.767014","140.092654","0","3"
"05","秋田県","05201","秋田市","052010044002","飯島西袋二丁目","39.769765","140.089725","0","3"
"05","秋田県","05201","秋田市","052010044003","飯島西袋三丁目","39.772231","140.087414","0","3"
